9000214371;France ; France International ; West;517.5;;;;;;0.9
9000161503;Spain ;  Iberica ; South;345.0;;;;;;0.9
9000196095;Germany ; Central Europe ; East;161.0;;;;;;0.9
9000094445;France ; France International ; West;345.0;;;;;;0.9
9000154428;Germany ; Central Europe ; East;57.5;;;;;;0.9
9000073560;France ; France International ; West;345.0;;;;;;0.9
9000105204;Italy ; South East Europe ; South;172.5;;;;;;0.9
9000002357;France ; France International ; West;517.5;;;;;;0.9
9000131194;Germany ; Central Europe ; East;57.5;;;;;;
9000197173;Netherlands ; Netherlands ; North;161.0;;;;;;
9000135189;France ; France International ; West;345.0;;;;;;
9000173113;Spain ;  Iberica ; South;172.5;;;;;;
9000042636;Germany ; Central Europe ; East;161.0;;;;;;
9000037156;France ; France International ; West;517.5;;;;;;
9000148395;Netherlands ; Netherlands ; North;57.5;;;;;;
9000096328;Germany ; Central Europe ; East;161.0;;;;;;
9000027976;Poland ; Eastern Europe ; East;241.5;;;;;;
9000027154;Germany ; Central Europe ; East;161.0;;;;;;
9000156219;Netherlands ; Netherlands ; North;161.0;;;;;;
9000172511;Germany ; Central Europe ; East;161.0;;;;;;
9000030498;Netherlands ; Netherlands ; North;161.0;;;;;;0.7
9000083532;Netherlands ; Netherlands ; North;57.5;;;;;;0.7
9000134232;Germany ; Central Europe ; East;57.5;;;;;;0.7
9000175599;Netherlands ; Netherlands ; North;57.5;;;;;;0.7
9000029315;France ; France International ; West;345.0;;;;;;0.7
9000157894;Belgium ; BeLux ; North;57.5;;;;;;0.7
9000157031;Turkey ; Eastern Europe ; East;57.5;;;;;;0.7
9000160614;Austria ; Central Europe ; East;161.0;;;;;;0.7
9000098672;Germany ; Central Europe ; East;161.0;;;;;;0.7
9000139555;Hungary ; Eastern Europe ; East;241.5;;;;;;0.7
9000173320;Romania ; Eastern Europe ; East;57.5;;;;;;0.7
9000085213;Portugal ;  Iberica ; South;57.5;;;;;;0.7
9000207019;Spain ;  Iberica ; South;57.5;;;;;;0.7
9000108212;Bulgaria ; Eastern Europe ; East;57.5;;;;;;0.7
9000027912;Germany ; Central Europe ; East;161.0;;;;;;0.7
